Name,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity
"Bogotá, D.C., Colombia",1991 1991,33.4,-1.9,13.6,-1.7,34,2905.14,,105.5,,11.3,58.1,80.27
"Bogotá, D.C., Colombia",1992 1992,32.1,0.1,13.7,-1.9,38,2222.12,,59.4,,10.8,57.7,78.36
"Bogotá, D.C., Colombia",1993 1993,30.2,-0.9,13.6,1,35,3474.78,0,90.7,,11,62.6,80.31
"Bogotá, D.C., Colombia",1994 1994,30.4,0.1,13.5,-0.6,32.2,3450.28,,76.6,,11,69.4,81.55
"Bogotá, D.C., Colombia",1995 1995,31.2,-3.9,13.2,-4.6,33.6,2791.98,,86.4,,10.8,66.9,81.18
"Bogotá, D.C., Colombia",1996 1996,27.1,-1.9,13,-2.8,28.8,2926.74,,72.4,,11.1,69.2,82.07
"Bogotá, D.C., Colombia",1997 1997,31.4,0.1,13.6,-0.9,33.7,2417.26,,83.6,,11.4,70,79.99
"Bogotá, D.C., Colombia",1998 1998,27,-24.3,14.2,-0.6,28.9,2179.91,,90.8,,10.5,70,78.63
"Bogotá, D.C., Colombia",1999 1999,31.2,4.1,13.5,2.2,32.6,3329.62,3.77,163.1,,11.2,73.3,80.07
"Bogotá, D.C., Colombia",2000 2000,31.4,0.8,13.1,-2.4,36.1,2617.13,,79.2,,11.4,72.2,80.13
"Bogotá, D.C., Colombia",2001 2001,33.1,-1.9,13.4,-2.7,35.5,2521.67,12,97.2,,11.6,71.8,80.75
"Bogotá, D.C., Colombia",2002 2002,34.2,1.1,13.9,-1.4,35.1,2701.86,,72,,11.6,72.5,79.36
"Bogotá, D.C., Colombia",2003 2003,33.1,2.1,13.6,0.2,34.4,2516.06,,44.3,,11,72.8,79.25
"Bogotá, D.C., Colombia",2004 2004,32.4,0.1,13.2,-2.5,33.7,1021.97,,93.6,,10.4,72.2,81.48
"Bogotá, D.C., Colombia",2005 2005,34.1,2.1,13.5,0.6,35.9,2561.13,,72,,10.6,73,83.09
"Bogotá, D.C., Colombia",2006 2006,25.1,3.1,13.3,1.9,,1409.67,,74.2,,10.6,71.4,83.33
"Bogotá, D.C., Colombia",2007 2007,26.7,-1.9,13.1,-0.6,,1959.05,,85.3,,10.6,70.4,83.73
"Bogotá, D.C., Colombia",2008 2008,44.1,2.1,13,1.7,36.9,126.05,,100.1,,10,67.2,86.35
"Bogotá, D.C., Colombia",2009 2009,32.1,1.8,13.8,-0.9,34.3,20,,44.3,,10.4,67.4,79.37
"Bogotá, D.C., Colombia",2010 2010,32.9,-0.9,14,-3.1,35.6,2787.06,,72,,11,72.7,81.39
"Bogotá, D.C., Colombia",2011 2011,31.6,4.1,14,2.2,33.7,3260,,100.1,,11.3,73.1,80.17
"Bogotá, D.C., Colombia",2012 2012,33.1,3.1,13.8,2.2,35.6,3482.68,0,74.2,,11.7,71.1,77.26
"Bogotá, D.C., Colombia",2013 2013,34.1,1.1,14,-0.6,38.4,1546.42,,77.8,,10,66,76.38
"Bogotá, D.C., Colombia",2014 2014,34.1,2.1,14.1,-0.2,35.2,243.48,,42.5,,9.5,64.6,76.11
